qid,P@10,nDCG@10,pool_size
R90,0.1,0.11004588314904008,300
R91,0.2,0.16421958630632802,300
R92,0.2,0.1884441521277154,300
R93,0.1,0.09478836436955078,300
R94,0.1,0.09478836436955078,300
R95,0.2,0.1681522864689108,300
R96,0.2,0.16421958630632802,300
R97,0.1,0.11004588314904008,300
R98,0.1,0.11004588314904008,300
R99,0.2,0.1681522864689108,300
R100,0.2,0.16421958630632802,300
R101,0.1,0.09478836436955078,300
R102,0.2,0.18340980524840012,300
R103,0.2,0.1681522864689108,300
R104,0.2,0.16421958630632802,300
R105,0.1,0.09478836436955078,300
R106,0.2,0.18340980524840012,300
R107,0.2,0.16421958630632802,300
R108,0.1,0.09478836436955078,300
R109,0.1,0.09478836436955078,300
R110,0.2,0.16421958630632802,300
R111,0.2,0.16421958630632802,300
R112,0.2,0.16421958630632802,300
R113,0.2,0.16421958630632802,300
R114,0.2,0.16421958630632802,300
R115,0.2,0.16421958630632802,300
R116,0.2,0.16421958630632802,300
R117,0.2,0.16421958630632802,300
R118,0.2,0.16421958630632802,300
R119,0.2,0.16421958630632802,300
R120,0.1,0.09478836436955078,300
R121,0.1,0.11004588314904008,300
R122,0.2,0.1681522864689108,300
R123,0.2,0.16421958630632802,300
R124,0.2,0.18340980524840012,300
R125,0.2,0.16421958630632802,300
R126,0.1,0.09478836436955078,300
R127,0.2,0.16421958630632802,300
R128,0.3,0.2685529228900211,300
R129,0.1,0.09478836436955078,300
R130,0.2,0.16421958630632802,300
R131,0.2,0.18340980524840012,300
R132,0.1,0.11004588314904008,300
R133,0.2,0.16421958630632802,300
R134,0.1,0.09478836436955078,300
R135,0.1,0.09478836436955078,300
R136,0.2,0.18340980524840012,300
R137,0.1,0.09478836436955078,300
R138,0.2,0.16421958630632802,300
R139,0.1,0.11004588314904008,300
R140,0.2,0.16421958630632802,300
R141,0.2,0.1884441521277154,300
R142,0.2,0.1884441521277154,300
R143,0.1,0.11004588314904008,300
R144,0.1,0.11004588314904008,300
R145,0.1,0.09478836436955078,300
R146,0.1,0.09478836436955078,300
R147,0.2,0.16421958630632802,300
R148,0.2,0.1681522864689108,300
R149,0.1,0.09478836436955078,300
R150,0.1,0.09478836436955078,300
R151,0.2,0.16421958630632802,300
R152,0.2,0.16421958630632802,300
R153,0.2,0.16421958630632802,300
R154,0.2,0.16421958630632802,300
R155,0.1,0.09478836436955078,300
R156,0.2,0.16421958630632802,300
R157,0.2,0.16421958630632802,300
R158,0.2,0.16421958630632802,300
R159,0.2,0.16421958630632802,300
R160,0.2,0.16421958630632802,300
R161,0.2,0.1681522864689108,300
R162,0.2,0.16421958630632802,300
R163,0.2,0.16421958630632802,300
R164,0.3,0.40350157154648025,300
