id,S,S_plus,S_base,s_mn,s_tn,s_mtn
H90,0.3585995618090231,0.3585995618090231,1.049809085404768,0.2447724632952027,0.6192394411994788,0.1434398247236091
H91,0.7628400963163574,0.7628400963163574,1.6461827285795927,0.2447724632952027,0.859405827033842,0.3051360385265427
H92,0.7657356360115528,0.7657356360115528,1.5704532958687607,0.2119220423884162,0.7939750324330938,0.306294254404621
H93,2.664535259100375e-16,2.664535259100375e-16,1.1055572126490063,0.4264587934658108,0.9554877223454472,0.0
H94,1.4534614117872234e-15,1.4534614117872234e-15,1.1801581100398144,0.757188534750267,0.7180091027994991,5.103302911388794e-16
H95,1.8087327796672735e-15,1.8087327796672735e-15,1.0101522053502308,0.4142810242912271,0.8484092323965596,5.103302911388794e-16
H96,1.8087327796672735e-15,1.8087327796672735e-15,1.431261451270124,0.833762379367281,0.9553144347203724,5.103302911388794e-16
H97,0.3183040345186917,0.3183040345186917,1.4323574235131329,0.5805322167984048,0.8120345194446473,0.1273216138074764
H98,0.16594360028295566,0.16594360028295566,1.0844916125979855,0.5897247522187045,0.5584602631750828,0.0663774401131822
H99,1.6310970957272485e-15,1.6310970957272485e-15,1.3625869262223809,0.830847291296587,0.8723863664813873,5.103302911388794e-16
H100,1.8087327796672735e-15,1.8087327796672735e-15,1.461213309180719,0.9516290702913024,0.8748875661845942,5.103302911388794e-16
H101,1.4534614117872234e-15,1.4534614117872234e-15,1.260925860951662,0.7211478805356455,0.8550094456539303,5.103302911388794e-16
H102,0.6112019892938944,0.6112019892938944,2.114717763021064,0.92901788278548,0.9503768343734816,0.2444807957175576
H103,0.41344164250131754,0.41344164250131754,1.348179824709474,0.2603755635156381,0.9080471642445576,0.1653766570005269
H104,0.24891540042443489,0.24891540042443489,1.1447173956241803,0.1946826074517287,0.9250698865479534,0.0995661601697738
H105,0.8640557279512014,0.8640557279512014,1.931194828170412,0.6706385395996688,0.6632853356743441,0.3456222911804805
H106,1.4534614117872234e-15,1.4534614117872234e-15,1.4521187818387502,0.9355926890028976,0.8795557882955383,5.103302911388794e-16
H107,0.062228850106109436,0.062228850106109436,1.268095341458257,0.5578470829123827,0.9494860312778016,0.0248915400424437
H108,1.2758257278471984e-15,1.2758257278471984e-15,1.4386861838301814,0.8568265984081672,0.9415311313795576,5.103302911388794e-16
H109,0.4053343167640156,0.4053343167640156,1.5215532166772858,0.9424457567365894,0.4528278681549989,0.162133726705606
H110,1.6310970957272485e-15,1.6310970957272485e-15,0.9578571260042348,0.2369166537902287,0.9604047537150632,5.103302911388794e-16
H111,1.6310970957272485e-15,1.6310970957272485e-15,1.4112621793444933,0.8609258304528922,0.9031518937277226,5.103302911388794e-16
H112,1.6310970957272485e-15,1.6310970957272485e-15,1.2123577764285918,0.9170475965186148,0.5983996240171232,5.103302911388794e-16
H113,1.8087327796672735e-15,1.8087327796672735e-15,0.985612920038333,0.6336165260307914,0.5983996240171232,5.103302911388794e-16
H114,0.2889828323580256,0.2889828323580256,1.344156826474952,0.4383076845196568,0.8806598081265014,0.11559313294321
H115,1.7199149376972609e-15,1.7199149376972609e-15,1.3046855320938553,0.7618507729988321,0.8690061421184853,5.103302911388794e-16
H116,1.0606815492922572,1.0606815492922572,2.0159346429853526,0.5705329076722992,0.6235334594440708,0.4242726197169026
H117,0.6623596096451015,0.6623596096451015,1.4749615647736152,0.8674842837338694,0.1482681601767731,0.2649438438580404
H118,0.32172072551303155,0.32172072551303155,1.596756242770668,0.7089420136647362,0.8848523829073096,0.1286882902052125
H119,0.19726113687457847,0.19726113687457847,1.2459347423009222,0.3572764596596299,0.9535655471233004,0.0789044547498311
H120,1.5790637021401963,1.5790637021401963,2.0550426523994547,0.3742066971949963,0.2207669906290765,0.6316254808560785
H121,0.2889828323580256,0.2889828323580256,1.603031047172938,0.7056477598755068,0.9369125086431338,0.11559313294321
H122,0.21515973708541536,0.21515973708541536,1.114351040041761,0.791980239734428,0.3320088889610049,0.0860638948341659
H123,1.8087327796672735e-15,1.8087327796672735e-15,1.1431147243714852,0.6493802810534145,0.7795131244109403,5.103302911388794e-16
H124,0.7046144151014251,0.7046144151014251,1.3887157682819316,4.674364515443258e-16,0.8551266914756329,0.2818457660405699
H125,0.4148601568835841,0.4148601568835841,1.497884614909386,0.3956762451492693,0.9581043273829832,0.1659440627534335
H126,0.21447984135195153,0.21447984135195153,1.4928914509736504,0.7203402674279717,0.8776742445991521,0.0857919365407805
H127,1.7199149376972609e-15,1.7199149376972609e-15,1.3095837011622342,0.830576917211647,0.8064027092411441,5.103302911388794e-16
H128,0.17847144736751847,0.17847144736751847,1.0834479101626555,0.438105305908407,0.6931152725855151,0.0713885789470072
H129,1.8087327796672735e-15,1.8087327796672735e-15,1.4492201537363356,0.8596350977382198,0.951890094432198,5.103302911388794e-16
H130,0.7752303533806796,0.7752303533806796,2.0056423391647824,0.9158937933263506,0.6221211889037783,0.3100921413522716
H131,0.6434395240558543,0.6434395240558543,1.5787433122382284,0.3653240607063892,0.8038056745215786,0.2573758096223416
H132,1.8087327796672735e-15,1.8087327796672735e-15,1.4199744958022302,0.8322582379111446,0.9427098818416416,5.103302911388794e-16
H133,0.6778003685676534,0.6778003685676534,1.7983993541545955,0.8134388510564887,0.5873098809271902,0.2711201474270611
H134,0.32171976202792824,0.32171976202792824,1.2337123509547954,0.2089244728541827,0.9310662633044018,0.128687904811171
