id,title,year,field,B1_tfidf_dist,B1_bm25_negmax
R118,K-ANMI: A Mutual Information Based Clustering Algorithm for Categorical Data,0,ALL,0.8013462156963981,-175.84468128691867
R119,Probabilistic Automata for Computing with Words,0,ALL,0.8710685018506406,-256.7232776042304
R120,An application-oriented terminology evaluation: the case of back-of-the book indexes,0,ALL,0.8841010605466735,-109.4720072152857
R121,Universal Algorithmic Intelligence: A mathematical top->down approach,0,ALL,0.9061708361699299,-214.3849487757442
R122,Multimodal Meaning Representation for Generic Dialogue Systems Architectures,0,ALL,0.8699651760270057,-247.9472805186704
R123,Improving ecological niche models by data mining large environmental datasets for surrogate models,0,ALL,0.9104595197570059,-212.6216180755095
R124,Introduction to Arabic Speech Recognition Using CMUSphinx System,0,ALL,0.8348411967568649,-131.89849818483754
R125,Arabic Speech Recognition System using CMU-Sphinx4,0,ALL,0.8219008344048698,-117.3384532370212
R126,Clustering with Lattices in the Analysis of Graph Patterns,0,ALL,0.892475474415191,-301.00119396362436
R127,Multi-Dimensional Recurrent Neural Networks,0,ALL,0.8991254265456801,-126.3546660433149
R128,Condition Monitoring of HV Bushings in the Presence of Missing Data Using Evolutionary Computing,0,ALL,0.8358206077462598,-168.14762876449677
R129,On complexity of optimized crossover for binary representations,0,ALL,0.8661868393594285,-214.9412307076034
R130,Virtual Sensor Based Fault Detection and Classification on a Plasma Etch Reactor,0,ALL,0.8294111467427376,-218.4290137354912
R131,Learning Probabilistic Models of Word Sense Disambiguation,0,ALL,0.9043849264746623,-137.59790781308513
R132,Classification of Images Using Support Vector Machines,0,ALL,0.9010017097678032,-191.10931989354947
R133,A Recommender System based on the Immune Network,0,ALL,0.892289150185673,-202.95572744215337
R134,Movie Recommendation Systems Using An Artificial Immune System,0,ALL,0.8916270210748425,-94.54374008613132
R135,Design and Implementation of Aggregate Functions in the DLV System,0,ALL,0.8736237755982331,-265.38280543891335
R136,A Recommender System based on Idiotypic Artificial Immune Networks,0,ALL,0.8943465133114188,-197.88795231150473
R137,Binary Decision Diagrams for Affine Approximation,0,ALL,0.8147332124898895,-249.75752379908008
R138,Symmetry Breaking for Maximum Satisfiability,0,ALL,0.795920087053407,-253.56534866093153
R139,An Analysis of Key Factors for the Success of the Communal Management of Knowledge,0,ALL,0.8981919008397439,-291.6488788954306
R140,A Pseudo-Boolean Solution to the Maximum Quartet Consistency Problem,0,ALL,0.8213954172404605,-210.3986955988155
R141,MOOPPS: An Optimization System for Multi Objective Scheduling,0,ALL,0.8841265331800502,-220.35445695219047
R142,Temporal Difference Updating without a Learning Rate,0,ALL,0.8796795562847397,-189.579119686304
R143,Justifications for Logic Programs under Answer Set Semantics,0,ALL,0.7637186576937072,-204.5476067253864
R144,Emerge-Sort: Converging to Ordered Sequences by Simple Local Operators,0,ALL,0.9062752314074772,-155.63603347206853
R145,The Offset Tree for Learning with Partial Labels,0,ALL,0.8865574775647167,-184.6572373343732
R146,Finding Still Lifes with Memetic/Exact Hybrid Algorithms,0,ALL,0.8578029742337268,-256.4470733563202
R147,Algorithms for Weighted Boolean Optimization,0,ALL,0.7073363803648866,-257.36180504136246
R148,"Design, development and implementation of a tool for construction of declarative functional descriptions of semantic web services based on WSMO methodology",0,ALL,0.8893847598617028,-322.2949677810752
R149,Online prediction of ovarian cancer,0,ALL,0.8910033851065846,-236.49562298063586
R150,On the Workings of Genetic Algorithms: The Genoclique Fixing Hypothesis,0,ALL,0.9016011193608058,-200.8455919737374
