new_id,old_id,S_new,S_old,delta
R118,H513,-0.0015731846719906,-0.2944817692951557,0.2929085846231651
R119,H1220,-0.1580718079234377,-0.2168741886992652,0.0588023807758275
R120,H1913,-0.143460109963673,-0.4695466052652965,0.3260864953016235
R121,H1245,-0.3014885905199999,-0.0813799095695781,-0.2201086809504218
R122,H1489,-0.1707909358279637,-0.611937043445696,0.4411461076177323
R123,H1388,-0.2381464241706633,-0.0248323015125512,-0.21331412265811212
R124,H529,-0.036539260219277,-0.1478837886342503,0.1113445284149733
R125,H2030,-0.1069508410767345,-0.698429233744458,0.5914783926677235
R126,H1887,-0.1463995702199817,-0.2072729268273344,0.060873356607352685
R127,H1046,-0.1306690085690499,-0.5604548770942385,0.4297858685251886
R128,H567,-0.0123959682255627,-0.0772423120703595,0.0648463438447968
R129,H992,-0.2271191756920463,-0.2247634219135481,-0.0023557537784981986
R130,H1154,-0.1418326633561931,-0.7123720763598571,0.5705394130036641
R131,H745,-0.0859705999905858,-0.7462650876970917,0.6602944877065059
R132,H1726,-0.1061981926109477,-0.0124154598436291,-0.0937827327673186
R133,H2044,-0.0046618897558294,-0.7315958864379741,0.7269339966821448
R134,H2087,-0.2383936921400728,-0.6559975665267285,0.4176038743866557
R135,H365,-0.0028550658657915,-0.3004752278065247,0.2976201619407332
R136,H312,-0.0567209238012049,-0.7752496707453785,0.7185287469441737
R137,H801,-0.1741197525572039,-0.3766279225579856,0.2025081700007817
R138,H1282,-0.1979832274639813,-0.7016179408170862,0.5036347133531048
R139,H596,-0.1482410795266402,-0.6411117994745003,0.49287071994786
R140,H2101,-0.1012565037124573,-0.1834182441899928,0.08216174047753551
R141,H549,-0.16624930042906,-0.1105152724780866,-0.0557340279509734
R142,H2105,-0.0022919693981776,-0.1872855163258181,0.1849935469276405
R143,H1866,-0.0184623599562683,-0.6391435865317103,0.620681226575442
R144,H514,-0.0164898267009236,-0.077393218969569,0.0609033922686454
R145,H883,-0.0098057059493506,-0.1789229635995295,0.1691172576501789
R146,H1066,-0.2869706057372752,-0.0059074798282034,-0.2810631259090718
R147,H1283,-0.1125457723766851,-0.7090804381096875,0.5965346657330024
R148,H217,-0.1856277028065657,-0.5787911064147013,0.3931634036081356
R149,H1786,-0.1493412243950425,-0.192897220569459,0.043555996174416495
R150,H1478,-0.1647094867340192,-0.8187230767338439,0.6540135899998247
R151,H112,-0.1208998916864072,-0.7355772894457108,0.6146773977593035
R152,H583,-0.1812840280789424,-0.1842265089441404,0.002942480865197994
R153,H58,-0.0215323173557328,-0.2484172982169234,0.2268849808611906
R154,H1874,-0.1938381712616084,-0.0107045319317702,-0.1831336393298382
R155,H50,-0.0624836945481936,-0.556943745707615,0.4944600511594214
R156,H483,-0.1948551403570853,-0.572586198436627,0.37773105807954166
R157,H1976,-0.0567717688929014,-0.1338953432930379,0.07712357440013651
R158,H831,-0.0226064247049561,-0.8160272796966818,0.7934208549917257
R159,H1178,-0.0027539559829192,-0.2488721124907218,0.2461181565078026
R160,H276,-0.2365163053968469,-0.1057112383005858,-0.1308050670962611
R161,H1734,-0.1279237052683255,-0.4004601906919922,0.2725364854236667
R162,H1402,-0.1680803044481185,-0.6412975225185821,0.4732172180704636
